@@,itemlabel,positionlabel
---,Abdulhamid Dbeibeh,Minister of Defence
---,Adel Mohamed Sultan Hassan,Minister of Marine Resources
->,Ahmed Ali Muhammad Omar->Ahmed Abuhisa,Minister of Industry and Minerals
+++,Fakher Muftah Bufarna,Minister of Planning
---,Fathi Bashagha,Prime Minister of Libya
