itemLabel,positionLabel
Abdul Hamid Mohammed Dbeibah,Prime Minister
Hussein Atiya Abdul Hafeez Al-Qatrani,Deputy Prime Minister
Ramadan Ahmed Boujenah,Deputy Prime Minister
Ramadan Ahmed Boujenah,Minister of Health
Hamad Abdul-Razzaq Taher Al-Marimi,Minister of Agriculture and Livestock Resources
Ali Al Abed,Minister of Civil Service
Ali Al Abed,Minister of Economy and Trade
Mabrouka Othman Oki,Minister of Culture and Knowledge Development
Ibrahim Al-Arabi Mounir,Minister of Environment
Khaled Al-Mabrouk Abdullah,Minister of Finance
Tariq Abdel Salam Mustafa Abu Flika,Minister of Water Resources
Najla Mangoush,Minister of Foreign Affairs and International Cooperation
Imran Muhammad Abdul Nabi Al-Qeeb,Minister of Higher Education and Scientific Research
Abubaker Mohamed Al-Ghawi,Minister of Housing and Construction
Ahmed Abuhisa,Minister of Industry and Minerals
Khaled Tijani Mazen,Minister of the Interior
Halima Ibrahim Abdel Rahman,Minister of Justice
Ali Al-Abed Al-Reda Abu Azoum,Minister of Labour and Rehabilitation
Badr Al-Din Al-Sadiq Al-Toumi,Minister of Local Government
Muhammad Ahmad Muhammad Aoun,Minister of Oil and Gas
Fakher Muftah Bufarna,Minister of Planning
Wafaa Abu Bakr Muhammad Al-Kilani,Minister of Social Affairs
Abdul Shafi‘ Hussein Muhammad Al-Juifi,Minister of Sports
Ahmed Faraj Mahjoub Abu Khuzam,Minister of State for Affairs of the Displaced and Human Rights
Ahmed Faraj Mahjoub Abu Khuzam,Acting Minister of Education
Walid Ammar Muhammad Ammar Al-Lafi,Minister of State for Communication and Political Affairs
Salama Ibrahim Al-Ghwail,Minister of State for Economic Affairs
Adel Jumaa Amer,Minister of State for Prime Minister and Cabinet Affairs
Houria Khalifa Miloud,Minister of State for Women’s Affairs
Saeed Sifaw,Minister of Technical and Vocational Education
Abd Al-Salam Abdullah Al-Lahi Tiki,Minister of Tourism and Handicrafts
Muhammad Salem Al-Shahoubi,Minister of Transportation
Fathallah Abd Al-Latif Al-Zani,Minister of Youth
