item,itemLabel,position,positionLabel,startDate,endDate,cabinet
Q105319569,Abdul Hamid Dbeibeh,,Prime Minister of Libya,2021-03-15,,Q105742549
,Hussein Atiya Abdul Hafeez Al-Qatrani,,Deputy Prime Minister for East Libya,2021-03-15,,Q105742549
,Ramadan Ahmed Boujenah,,Deputy Prime Minister for South Libya,2021-03-15,,Q105742549
,Khaled Al-Mabrouk Abdullah,,Minister of Finance,2021-03-15,,Q105742549
Q105977287,Najla Mangoush,,Minister of Foreign Affairs,2021-03-15,,Q105742549
Q105319569,Abdul Hamid Dbeibeh,,Minister of Defense,2021-03-15,,Q105742549
,Khaled Ahmed Mazen,,Minister of Interior,2021-03-15,,Q105742549
,Halima Ibrahim Abdel Rahman,,Minister of Justice,2021-03-15,,Q105742549
,Ali Muhammad Miftah Al-Zinati,,Minister of Health,2021-03-15,,Q105742549
,Musa Muhammad al-Maqrif,,Minister of Education,2021-03-15,,Q105742549
,Imran Muhammad Abdul Anabi Al-Qeeb,,Minister of Higher Education and Scientific Research,2021-03-15,,Q105742549
,Saeed Sifaw,,Minister of Technical and Vocational Education,2021-03-15,,Q105742549
,Kamel Braik Al-Hassi,,Minister of Planning,2021-03-15,,Q105742549
,Wafaa Abu Bakr Muhammad al-Kilani,,Minister of Social Affairs,2021-03-15,,Q105742549
,Omar Ali Al-Ajili,,Minister of Economy & Trade,2021-03-15,,Q105742549
,Ahmed Ali Muhammad Omar,,Minister of Industry and Minerals,2021-03-15,,Q105742549
,Abdul Fattah Saleh Muhammad Al-Khawja,,Minister of Civil Service,2021-03-15,,Q105742549
,Badr Al-Din Al-Sadiq Al-Toumi,,Minister of Local Government,2021-03-15,,Q105742549
,Fathallah Abd al-Latif Al-Zani,,Minister of Youth,2021-03-15,,Q105742549
,Muhammad Ahmad Muhammad Aoun,,Minister of Oil and Gas,2021-03-15,,Q105742549
,Ali Al-Abed Al-Reda Abu Azoum,,Minister of Labour,2021-03-15,,Q105742549
,Hamad Abdul-Razzaq Taher Al-Marimi,,Minister of Agriculture,2021-03-15,,Q105742549
,Mabrouka Othman Oki,,Minister of Culture and Knowledge Development,2021-03-15,,Q105742549
,Tariq Abdel Salam Mustafa Abu Flika,,Minister of Financial Resources,2021-03-15,,Q105742549
,Tawfiq Saeed Moftah Al-Dorsi,,Minister of Livestock and Marine Resources,2021-03-15,,Q105742549
,Abdul Shafi Hussein Muhammad Al-Juifi,,Minister of Sports,2021-03-15,,Q105742549
,Abd Al-Salam Abdullah Al-Lahi-Tiki,,Minister of Tourism and Handicrafts,2021-03-15,,Q105742549
,Ibrahim Al-Arabi Mounir,,Minister of Environment,2021-03-15,,Q105742549
,Zuhair Ahmed Mahmoud,,Minister of Housing and Construction,2021-03-15,,Q105742549
,Muhammad Salem Al-Shahoubi,,Minister of Transportation,2021-03-15,,Q105742549
,Houria Khalifa Miloud,,Minister of State for Women's Affairs,2021-03-15,,Q105742549
,Salama Ibrahim Al-Ghwail,,Minister of State for Economic Affairs,2021-03-15,,Q105742549
,Ahmed Faraj Mahjoub Abu Khuzam,,Minister of State for Displaced Affairs and Human Rights,2021-03-15,,Q105742549
,Walid Ammar Muhammad Ammar Al-Lafi,,Minister of State for Communication and Political Affairs,2021-03-15,,Q105742549
,Ijdid Maatouk Jadeed,,Minister of State for Immigration Affairs,2021-03-15,,Q105742549
,Abdel Jumaa Amer,,Minister of State for Prime Minister and Cabinet Affairs,2021-03-15,,Q105742549
