wanted,position,positionid,from,start,end
Q63122668,Minister of Foreign Affairs,Q53862230,Q105977287,2021-03-15,
Q13550478,Chairman of the Presidential Council,Q102181806,Q21089561,2016-03-30,2021-03-15
Q6890931,Minister of Foreign Affairs,Q53862230,Q18201431,2014-09-28,2019-02-28
Q16118502,Minister of Defence,Q114774835,Q15925685,2013-08-05,2014-10-23
Q1406024,Deputy Prime Minister,Q114774988,Q715354,2011-10-02,2011-10-23
Q307121,Minister of Foreign Affairs,Q53862230,Q296724,2011-03-05,2011-11-22
Q710620,Prime Minister,Q15305714,Q729476,2000-03-01,2003-06-14
