wanted,position,positionid,from,start,end
Q57904,Deputy Prime Minister,Q114774988,Q715354,2011-10-02,2011-10-23
Q748552,Minister of Foreign Affairs,Q53862230,Q296724,2011-03-05,2011-11-22
